id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
CLI000060,Esmeralda,Sepúlveda,TI,1028760366,1957-04-18,2024-06-26,BASICO,390,Bogotá,Cundinamarca,ACTIVO,Pagina WEB
CLI000061,Rubén,Díaz,CE,5294108271,1975-06-26,2018-04-12,ESTANDAR,847,Bogotá,Atlántico,INACTIVO,APP
CLI000062,Ariel,Rojas,CE,6924606422,1956-11-11,2024-12-13,ELITE,564,Ibagué,Antioquia,INACTIVO,Pagina WEB
CLI000063,Santiago,Yepes,CE,6312082424,2007-10-27,2024-06-30,PREMIUM,360,San Andrés,Antioquia,INACTIVO,OFICINA
CLI000064,Mireya,Naranjo,CC,8323144569,1973-05-03,2025-10-21,ESTANDAR,301,Fusagasugá,Cundinamarca,ACTIVO,APP
CLI000065,Antonio,Ramírez,TI,7729508967,2002-03-14,2023-11-11,ELITE,765,Villavicencio,Valle del Cauca,ACTIVO,OFICINA
CLI000066,Yeferson,Suárez,TI,391386778,1965-04-06,2023-02-20,PREMIUM,702,Fusagasugá,Cundinamarca,ACTIVO,Pagina WEB
CLI000067,Rosalba,Vargas,CE,3890990663,1949-02-28,2019-03-18,ESTANDAR,850,Villavicencio,Cundinamarca,INACTIVO,CORRESPONSAL
CLI000068,Andrea,Ariza,TI,7621431635,1972-09-16,2020-01-23,ELITE,516,Cali,Bolívar,INACTIVO,CORRESPONSAL
CLI000069,Jairo,Díaz,CC,8908346374,1960-11-25,2025-09-05,BASICO,769,Barranquilla,Meta,INACTIVO,Pagina WEB
CLI000070,Yulieth,Correa,TI,894899166,1981-12-21,2026-05-02,BASICO,464,San Andrés,Atlántico,INACTIVO,CORRESPONSAL
CLI000071,Jonatan,Correa,TI,9571293976,1991-03-25,2016-09-24,ELITE,386,Fusagasugá,San Andrés y Providencia,INACTIVO,Pagina WEB
CLI000072,Mauricio,Valencia,CE,8122638045,1959-07-02,2019-03-08,ELITE,886,Cartagena,Atlántico,ACTIVO,APP
CLI000073,Edinson,Ramírez,CC,6724695594,1947-07-06,2022-07-16,ELITE,402,Fusagasugá,Meta,INACTIVO,APP
CLI000074,Yenifer,Quintero,CE,9337822530,1998-08-07,2026-05-01,ELITE,766,Bogotá,Meta,ACTIVO,OFICINA
CLI000075,José,Martínez,TI,8307508531,1991-12-24,2018-10-03,BASICO,340,Bogotá,Bolívar,ACTIVO,CORRESPONSAL
CLI000076,Cristobal,Díaz,CC,6405047411,1946-05-28,2025-11-02,ESTANDAR,813,Cartagena,Bolívar,INACTIVO,APP
CLI000077,Alberto,Osorio,CE,4619983653,1948-03-15,2026-03-06,ELITE,539,Cali,San Andrés y Providencia,ACTIVO,OFICINA
CLI000078,Aida,Ramírez,TI,9478978566,2002-10-08,2018-03-03,BASICO,934,Armenia,Atlántico,INACTIVO,CORRESPONSAL
CLI000079,Manuel,Suárez,CC,3456306629,1998-09-23,2021-06-06,BASICO,860,Villavicencio,Antioquia,INACTIVO,CORRESPONSAL
CLI000080,Silvia,Salamanca,CE,4242922802,1966-11-23,2022-11-17,BASICO,562,Ibagué,Meta,ACTIVO,APP
CLI000081,Liceth,Carvajal,TI,600573471,1999-05-04,2018-03-28,BASICO,551,Armenia,Valle del Cauca,ACTIVO,CORRESPONSAL
CLI000082,Luz,Velasco,TI,5141571397,2000-03-16,2025-08-20,PREMIUM,362,Fusagasugá,Quindío,ACTIVO,APP
CLI000083,Enrique,Ruiz,CE,4962561998,1962-12-31,2017-05-14,ESTANDAR,749,Armenia,San Andrés y Providencia,ACTIVO,OFICINA
CLI000084,José,González,CE,3778592709,1960-01-24,2021-11-22,BASICO,751,Villavicencio,Meta,ACTIVO,APP
CLI000085,Jesús,Salazar,CC,1603667214,1982-10-21,2017-05-30,ESTANDAR,661,Medellín,Atlántico,INACTIVO,OFICINA
CLI000086,Javier,Suárez,CC,7070117823,2003-04-09,2017-06-13,ELITE,325,Cartagena,Valle del Cauca,INACTIVO,CORRESPONSAL
CLI000087,Jorge,Caicedo,CC,8033730091,1979-09-08,2018-12-07,PREMIUM,357,Barranquilla,Quindío,ACTIVO,OFICINA
CLI000088,María,Ospina,CE,4476150576,1989-12-15,2025-02-05,ELITE,710,Cartagena,Valle del Cauca,ACTIVO,APP
CLI000089,David,Guerrero,CC,8963130952,1986-10-05,2022-12-19,ELITE,354,Ibagué,Atlántico,INACTIVO,APP
CLI000090,Andrés,Erazo,CC,6235636209,1988-02-02,2022-02-20,ESTANDAR,591,Villavicencio,Valle del Cauca,ACTIVO,CORRESPONSAL
CLI000091,Lilian,Ortiz,CE,1768355332,1954-02-23,2018-06-07,PREMIUM,772,Barranquilla,Cundinamarca,INACTIVO,Pagina WEB
CLI000092,María,Burbano,TI,9437763458,1949-06-06,2021-10-05,PREMIUM,410,Barranquilla,Meta,ACTIVO,APP
CLI000093,Camilo,Rojas,CC,9156104162,1949-03-22,2026-01-16,BASICO,633,Bogotá,Antioquia,ACTIVO,APP
CLI000094,Dario,Montoya,CE,8461700064,2005-02-21,2019-06-03,ELITE,521,Barranquilla,Quindío,INACTIVO,OFICINA
CLI000095,Álvaro,Londoño,TI,2659103582,1965-04-30,2016-12-15,ELITE,551,San Andrés,Meta,INACTIVO,APP
CLI000096,María,Rodríguez,TI,1240184779,1989-09-22,2023-10-19,PREMIUM,639,Cali,Cundinamarca,ACTIVO,OFICINA
CLI000097,Alejandro,Rodríguez,CC,6330160102,1948-07-23,2023-04-24,ELITE,863,Ibagué,Quindío,INACTIVO,Pagina WEB
CLI000098,Fernando,Correa,CC,2359590402,2006-01-22,2017-08-08,ELITE,423,Ibagué,Valle del Cauca,INACTIVO,CORRESPONSAL
CLI000099,Edilberto,Ariza,CE,8055829360,1968-01-06,2024-09-23,ESTANDAR,577,Cali,Tolima,ACTIVO,Pagina WEB
CLI000100,Dario,Gaitán,CC,6139849739,2008-01-30,2020-02-11,ESTANDAR,381,Villavicencio,Valle del Cauca,ACTIVO,Pagina WEB
CLI000101,Jesús,Moreno,CC,4797264165,1950-10-08,2018-05-30,ELITE,753,Cartagena,Valle del Cauca,INACTIVO,OFICINA
CLI000102,Gustavo,Pacheco,TI,8243935077,1972-11-01,2023-10-01,ELITE,535,Cali,Quindío,ACTIVO,CORRESPONSAL
CLI000103,Elena,Londoño,CC,3916090271,1997-02-02,2024-05-21,BASICO,507,Barranquilla,Atlántico,INACTIVO,OFICINA
CLI000104,Jenny,Delgado,CC,7684449423,1951-06-12,2020-09-07,ESTANDAR,641,Cali,Cundinamarca,INACTIVO,CORRESPONSAL
CLI000105,Cristina,Mesa,CE,6560457570,1955-04-19,2024-07-03,ELITE,653,Cali,San Andrés y Providencia,INACTIVO,CORRESPONSAL
CLI000106,Cecilia,Rodríguez,TI,9544009858,1992-05-06,2022-04-21,BASICO,657,Bogotá,Cundinamarca,ACTIVO,Pagina WEB
CLI000107,Ronal,Díaz,CC,3167958899,1987-08-22,2025-01-07,BASICO,314,Barranquilla,Tolima,INACTIVO,OFICINA
CLI000108,Ana,Jiménez,CE,2267491872,1982-03-27,2018-08-31,ELITE,537,Armenia,Bolívar,ACTIVO,CORRESPONSAL
CLI000109,Andrés,Sánchez,CC,8196655038,2005-10-17,2023-09-12,PREMIUM,788,Ibagué,Antioquia,INACTIVO,Pagina WEB
CLI000110,Margoth,Melo,CE,6449900922,1978-03-06,2017-12-09,ESTANDAR,930,Ibagué,Cundinamarca,INACTIVO,OFICINA
CLI000111,Mónica,Torres,TI,240364708,1991-07-11,2024-10-25,BASICO,791,Armenia,Atlántico,INACTIVO,OFICINA
CLI000112,Andrés,Aguirre,CE,2502933005,1984-10-21,2019-06-07,BASICO,915,Villavicencio,San Andrés y Providencia,ACTIVO,Pagina WEB
CLI000113,Fredy,Niño,TI,4974192481,1986-12-23,2018-08-17,PREMIUM,537,Barranquilla,Cundinamarca,ACTIVO,APP
CLI000114,León,Quintero,TI,9189423046,1959-02-14,2026-01-26,PREMIUM,943,Villavicencio,Cundinamarca,ACTIVO,OFICINA
CLI000115,Jaime,Medina,TI,4177021966,1982-05-30,2018-04-16,ESTANDAR,504,Fusagasugá,Valle del Cauca,INACTIVO,Pagina WEB
CLI000116,Óscar,Villamizar,TI,8869417481,2001-09-03,2025-03-28,ESTANDAR,442,Medellín,Bolívar,ACTIVO,APP
CLI000117,Mary,Castaño,CC,3619756997,1983-03-26,2024-10-08,PREMIUM,407,Villavicencio,Cundinamarca,INACTIVO,APP
CLI000118,Fabio,Pérez,CC,5862732848,1960-09-13,2020-11-06,BASICO,650,San Andrés,Cundinamarca,ACTIVO,CORRESPONSAL
CLI000119,Patricia,Pacheco,CE,1774252168,1999-11-24,2017-04-28,BASICO,779,Barranquilla,Atlántico,INACTIVO,CORRESPONSAL
CLI000120,Mercedes,Sánchez,CC,2290189447,1972-09-14,2018-06-27,ESTANDAR,569,Armenia,Bolívar,INACTIVO,OFICINA
CLI000121,Ovidio,Arias,CC,5107817041,1961-05-16,2018-03-14,ELITE,852,Medellín,Atlántico,INACTIVO,Pagina WEB
CLI000122,Andrea,Suárez,CE,8876922871,1971-12-01,2020-08-29,BASICO,644,Ibagué,Tolima,ACTIVO,APP
CLI000123,Luz,Molano,TI,6204533324,1998-10-27,2025-01-01,ELITE,704,Cartagena,Valle del Cauca,INACTIVO,CORRESPONSAL
CLI000124,Alberto,Rivera,CC,4381111390,1982-03-08,2022-08-26,ELITE,403,Fusagasugá,Cundinamarca,INACTIVO,APP
CLI000125,Fernando,Rodríguez,TI,9150426476,1965-02-20,2016-10-22,BASICO,768,Armenia,Valle del Cauca,INACTIVO,CORRESPONSAL
CLI000126,Nelson,Pabón,CE,7065934313,1971-06-14,2021-02-20,PREMIUM,803,Barranquilla,Cundinamarca,INACTIVO,OFICINA
CLI000127,María,García,CC,1217488639,1987-09-06,2022-03-28,ESTANDAR,425,Cartagena,Valle del Cauca,ACTIVO,APP
CLI000128,Nancy,García,CC,4935500360,1966-05-04,2021-04-15,PREMIUM,854,Villavicencio,San Andrés y Providencia,INACTIVO,APP
CLI000129,Antonio,Londoño,TI,811342768,1963-08-23,2023-04-13,PREMIUM,852,Barranquilla,San Andrés y Providencia,ACTIVO,OFICINA
CLI000130,Carol,Pacheco,TI,663644771,1973-03-27,2020-11-18,BASICO,538,Bogotá,Atlántico,ACTIVO,CORRESPONSAL
CLI000131,Liliana,Ochoa,CC,6535950404,1976-07-31,2020-11-27,ELITE,689,San Andrés,Meta,ACTIVO,OFICINA
CLI000132,Juan,Ramírez,CE,7003575300,1998-07-21,2026-06-16,BASICO,699,Barranquilla,Bolívar,ACTIVO,OFICINA
CLI000133,Miguel,Muñoz,CE,5628651863,1945-10-19,2019-02-25,ESTANDAR,346,Cali,Cundinamarca,ACTIVO,OFICINA
CLI000134,Yéssica,López,TI,3652426114,1952-08-18,2017-08-18,ESTANDAR,925,Villavicencio,Cundinamarca,ACTIVO,OFICINA
CLI000135,Carlos,Flórez,CE,2286383344,1999-03-10,2019-01-04,BASICO,312,Medellín,Tolima,INACTIVO,APP
CLI000136,Santiago,Silva,CC,7393450846,1977-08-02,2019-08-28,BASICO,605,Villavicencio,Atlántico,ACTIVO,CORRESPONSAL
CLI000137,María,García,CC,960743150,1978-04-06,2018-08-08,BASICO,425,Ibagué,Meta,ACTIVO,Pagina WEB
CLI000138,Antonio,Duarte,CE,6431014677,1952-01-31,2017-10-22,BASICO,383,Barranquilla,Atlántico,ACTIVO,CORRESPONSAL
CLI000139,Jairo,Galvis,CC,5955344168,1953-05-17,2019-02-15,BASICO,742,San Andrés,San Andrés y Providencia,INACTIVO,CORRESPONSAL
CLI000140,Alberto,Restrepo,TI,4288866109,1959-05-19,2020-12-12,ESTANDAR,345,Cali,San Andrés y Providencia,ACTIVO,APP
CLI000141,Dario,Pérez,CE,6583279182,1961-12-30,2025-09-20,BASICO,825,Fusagasugá,San Andrés y Providencia,INACTIVO,APP
CLI000142,María,Hernández,CC,9461942713,1975-05-26,2026-06-17,ELITE,718,Medellín,Cundinamarca,ACTIVO,APP
CLI000143,Santiago,Marín,TI,413360178,1967-09-30,2025-01-22,PREMIUM,607,Cartagena,Meta,ACTIVO,APP
CLI000144,John,Londoño,CC,6253475633,1988-06-01,2016-12-14,ELITE,516,Barranquilla,Bolívar,ACTIVO,Pagina WEB
CLI000145,Yadira,Erazo,TI,1154736850,1959-12-06,2020-06-28,ELITE,754,Armenia,Meta,INACTIVO,OFICINA
CLI000146,Manuel,García,CC,6872321551,1997-07-18,2026-02-19,ELITE,755,Fusagasugá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI000147,Cristina,Rodríguez,TI,5855369958,1949-04-11,2016-12-18,PREMIUM,771,Fusagasugá,Cundinamarca,ACTIVO,APP
CLI000148,Mireya,Gamboa,CC,510700241,1980-10-24,2025-09-11,ESTANDAR,352,San Andrés,Meta,ACTIVO,OFICINA
CLI000149,Yineth,Pedraza,TI,915926686,1950-08-08,2020-05-21,BASICO,529,Barranquilla,Cundinamarca,INACTIVO,OFICINA
CLI000150,Manuel,Anaya,CC,6494179740,1994-01-06,2022-01-11,BASICO,652,Villavicencio,Bolívar,INACTIVO,OFICINA
CLI000151,Alexander,Pérez,CC,9838076032,2007-03-06,2021-11-28,PREMIUM,832,Barranquilla,Bolívar,ACTIVO,APP
CLI000152,Elkin,López,CC,6444519973,1961-05-01,2026-07-27,PREMIUM,593,San Andrés,San Andrés y Providencia,INACTIVO,Pagina WEB
CLI000153,Rodolfo,Vargas,TI,4059276426,1949-04-15,2018-07-14,ELITE,822,San Andrés,Cundinamarca,INACTIVO,APP
CLI000154,Camilo,Solano,CE,7113730162,1994-12-05,2021-05-03,ESTANDAR,691,Armenia,San Andrés y Providencia,INACTIVO,Pagina WEB
CLI000155,Ana,Jiménez,CC,9443351270,1977-08-08,2020-06-03,PREMIUM,916,Armenia,San Andrés y Providencia,ACTIVO,CORRESPONSAL
CLI000156,Marina,Velasco,CC,5855188791,1950-05-31,2024-03-02,PREMIUM,881,Armenia,Tolima,ACTIVO,APP
CLI000157,Rosalba,Carvajal,TI,6254939163,1986-05-16,2020-06-27,BASICO,928,Bogotá,Tolima,ACTIVO,CORRESPONSAL
CLI000158,Isabel,Buitrago,CC,2207780533,1988-07-01,2017-02-12,PREMIUM,609,Bogotá,Atlántico,INACTIVO,Pagina WEB
CLI000159,Mónica,Pérez,TI,7080996929,2004-03-15,2024-12-18,PREMIUM,626,Barranquilla,Antioquia,INACTIVO,CORRESPONSAL
CLI000160,Antonio,Gil,CE,3187190351,1990-06-06,2025-01-06,ELITE,545,Armenia,Quindío,INACTIVO,OFICINA
CLI000161,María,Sarmiento,TI,993808565,1993-06-22,2021-11-27,ESTANDAR,685,Cali,Atlántico,INACTIVO,APP
CLI000162,Carlos,Castro,TI,7789367897,1986-06-07,2021-07-18,PREMIUM,490,San Andrés,Bolívar,INACTIVO,CORRESPONSAL
CLI000163,Zoraida,Suárez,TI,3970038204,2006-12-02,2025-07-30,PREMIUM,799,Fusagasugá,Cundinamarca,ACTIVO,APP
CLI000164,Derly,Salgado,CE,2995813843,1964-12-17,2025-12-09,PREMIUM,300,Bogotá,San Andrés y Providencia,INACTIVO,OFICINA
CLI000165,Óscar,Cruz,CC,6610373915,1946-08-08,2025-06-20,ELITE,931,Fusagasugá,Valle del Cauca,ACTIVO,APP
CLI000166,Liliana,González,CE,2652244726,1977-09-28,2024-01-01,PREMIUM,685,Cartagena,San Andrés y Providencia,ACTIVO,CORRESPONSAL
CLI000167,Ofelia,Duque,CE,9281451362,1987-05-05,2017-06-02,ESTANDAR,713,Ibagué,San Andrés y Providencia,INACTIVO,CORRESPONSAL
CLI000168,Antonio,Sánchez,CE,9718331257,1966-01-18,2022-11-05,ESTANDAR,600,Bogotá,Meta,INACTIVO,CORRESPONSAL
CLI000169,Graciela,Díaz,CC,4871351246,2001-11-28,2023-03-18,ELITE,681,Bogotá,Atlántico,INACTIVO,CORRESPONSAL
CLI000170,Cecilia,Velásquez,CE,4811591226,1969-03-06,2022-03-15,PREMIUM,862,Medellín,Cundinamarca,INACTIVO,Pagina WEB
CLI000171,Ana,Bustos,CE,1439365457,1966-01-19,2021-07-13,BASICO,366,Armenia,Valle del Cauca,ACTIVO,OFICINA
CLI000172,Pablo,Vargas,TI,118396237,1981-04-06,2019-09-15,PREMIUM,723,Cartagena,Cundinamarca,INACTIVO,Pagina WEB
CLI000173,Eliecer,Polo,CC,4494302043,1954-09-12,2019-04-05,BASICO,310,San Andrés,Cundinamarca,ACTIVO,CORRESPONSAL
CLI000174,Sebastián,Rodríguez,CE,9605853497,1946-07-21,2022-10-11,BASICO,476,San Andrés,Meta,ACTIVO,OFICINA
CLI000175,Paula,Rojas,CC,7686784576,1987-07-22,2019-07-01,PREMIUM,924,Barranquilla,Antioquia,INACTIVO,OFICINA
CLI000176,Edgar,Sánchez,CC,9980905805,1970-02-22,2023-04-03,ESTANDAR,400,Fusagasugá,Atlántico,ACTIVO,APP
CLI000177,Mario,Moreno,TI,485688068,1963-01-31,2020-08-29,ESTANDAR,461,Medellín,Valle del Cauca,INACTIVO,APP
CLI000178,Didier,Benítez,CE,3738087763,1992-10-25,2022-08-05,PREMIUM,591,Cartagena,Tolima,ACTIVO,CORRESPONSAL
CLI000179,Jader,Lara,TI,1237668411,1956-06-04,2023-05-29,PREMIUM,565,Barranquilla,Antioquia,INACTIVO,Pagina WEB
CLI000180,Victoria,Jaramillo,CC,5684077739,2001-01-19,2022-11-17,PREMIUM,439,Ibagué,San Andrés y Providencia,INACTIVO,CORRESPONSAL
CLI000181,Ana,Díaz,CE,9264235424,1963-03-10,2023-02-05,ESTANDAR,345,Fusagasugá,Antioquia,INACTIVO,Pagina WEB
CLI000182,Leonardo,López,TI,7674135187,1997-08-24,2025-08-25,BASICO,723,Armenia,Bolívar,ACTIVO,OFICINA
CLI000183,Yadira,Escobar,TI,799457069,1949-10-14,2018-06-17,ELITE,760,Cali,Tolima,INACTIVO,OFICINA
CLI000184,Jair,Patiño,CC,4377387768,1989-07-09,2022-10-28,ESTANDAR,754,Cali,Tolima,INACTIVO,CORRESPONSAL
CLI000185,David,Vargas,CC,4824013183,2004-04-07,2025-05-31,ELITE,349,Cali,Bolívar,ACTIVO,APP
CLI000186,Wilson,Morales,CE,4038771307,1963-08-20,2021-07-17,BASICO,425,Ibagué,Tolima,INACTIVO,OFICINA
CLI000187,Jesús,Acosta,CC,5959259365,1984-04-01,2023-12-01,ESTANDAR,451,Armenia,Antioquia,ACTIVO,OFICINA
CLI000188,Judith,Torres,CE,1682803191,1946-02-18,2024-09-23,BASICO,418,Armenia,Meta,INACTIVO,Pagina WEB
CLI000189,Esteban,Suárez,CC,4005556057,1946-11-24,2016-10-09,ESTANDAR,338,Ibagué,Cundinamarca,INACTIVO,OFICINA
CLI000190,Jorge,Jiménez,CC,7146012164,1956-02-29,2019-06-29,ESTANDAR,468,Cartagena,San Andrés y Providencia,INACTIVO,Pagina WEB
CLI000191,Teresa,Moreno,CE,2268969431,1949-09-17,2022-04-09,ELITE,883,Ibagué,Meta,ACTIVO,APP
